(1250,0.03630473613739014)
(2500,0.06375571489334106)
(3750,0.0962791085243225)
(5000,0.12201426029205323)
(6250,0.14552451372146608)
(7500,0.17289576530456544)
(8750,0.20016183853149414)
(10000,0.23006846904754638)
(11250,0.27975925207138064)
(12500,0.3132473468780518)
(13750,0.37908895015716554)
(15000,0.4315754771232605)
(16250,0.47330029010772706)
(17500,0.5016864538192749)
(18750,0.520569097995758)
(20000,0.5660208582878112)
(21250,0.6139363050460815)
(22500,0.6413053750991822)
(23750,0.6822822690010071)
(25000,0.6791497468948364)
(26250,0.6951453685760498)
(27500,0.7232378602027894)
(28750,0.8865862488746643)
(30000,0.8853073954582215)
(31250,0.9006349563598632)
(32500,0.92469242811203)
(33750,0.8915581941604614)
