(1250,0.14802844524383546)
(2500,0.4257927417755127)
(3750,1.1195656538009644)
(5000,1.6639278411865235)
(6250,3.0708099842071532)
(7500,3.5516417741775514)
(8750,6.252080345153809)
(10000,6.357281112670899)
(11250,9.905874395370484)
(12500,10.324533786773681)
(13750,11.931271934509278)
(15000,15.150628361701965)
(16250,21.229698419570923)
(17500,24.598511123657225)
(18750,28.502317810058592)
(20000,35.43898347616196)
(21250,39.484435439109802)
(22500,45.625763499736784)
(23750,48.87448692321777)
(25000,55.65019493103027)
(26250,62.25490338802338)
(27500,68.30494601726532)
(28750,74.71432538032532)
(30000,83.37550660371781)
(31250,94.09840482473373)
(32500,101.4766731262207)
(33750,116.85428450107574)
